,sbfl_score
org.apache.commons.lang3.math.NumberUtils:451,0.5
org.apache.commons.lang3.math.NumberUtils:454,0.5
org.apache.commons.lang3.math.NumberUtils:534,0.5
org.apache.commons.lang3.math.NumberUtils:537,0.5
org.apache.commons.lang3.math.NumberUtils:540,0.5
org.apache.commons.lang3.math.NumberUtils:545,0.5
org.apache.commons.lang3.math.NumberUtils:548,0.5
org.apache.commons.lang3.math.NumberUtils:559,0.5
org.apache.commons.lang3.math.NumberUtils:560,0.5
org.apache.commons.lang3.math.NumberUtils:641,0.5
