,sbfl_score
org.apache.commons.lang3.LocaleUtils:134,1.0
org.apache.commons.lang3.LocaleUtils:129,0.3333333333333333
org.apache.commons.lang3.LocaleUtils:132,0.3333333333333333
org.apache.commons.lang3.LocaleUtils:133,0.3333333333333333
org.apache.commons.lang3.LocaleUtils:119,0.25
org.apache.commons.lang3.LocaleUtils:120,0.25
org.apache.commons.lang3.LocaleUtils:123,0.25
org.apache.commons.lang3.LocaleUtils:126,0.25
org.apache.commons.lang3.LocaleUtils:88,0.2
org.apache.commons.lang3.LocaleUtils:91,0.2
