,sbfl_score
org.apache.commons.lang3.math.NumberUtils:534,1.0
org.apache.commons.lang3.math.NumberUtils:537,1.0
org.apache.commons.lang3.math.NumberUtils:451,0.5
org.apache.commons.lang3.math.NumberUtils:509,0.5
org.apache.commons.lang3.math.NumberUtils:545,0.5
org.apache.commons.lang3.math.NumberUtils:548,0.5
org.apache.commons.lang3.math.NumberUtils:559,0.5
org.apache.commons.lang3.math.NumberUtils:560,0.5
org.apache.commons.lang3.math.NumberUtils:502,0.3333333333333333
org.apache.commons.lang3.math.NumberUtils:519,0.3333333333333333
