,sbfl_score
org.apache.commons.lang3.math.NumberUtils:454,1.0
org.apache.commons.lang3.math.NumberUtils:540,1.0
org.apache.commons.lang3.math.NumberUtils:641,1.0
org.apache.commons.lang3.math.NumberUtils:1334,1.0
org.apache.commons.lang3.math.NumberUtils:1335,1.0
org.apache.commons.lang3.math.NumberUtils:1337,1.0
org.apache.commons.lang3.math.NumberUtils:1338,1.0
org.apache.commons.lang3.math.NumberUtils:1339,1.0
org.apache.commons.lang3.math.NumberUtils:1340,1.0
org.apache.commons.lang3.math.NumberUtils:1341,1.0
