,sbfl_score
org.apache.commons.lang3.time.StopWatch:229,0.5
org.apache.commons.lang3.time.StopWatch:230,0.5
org.apache.commons.lang3.time.StopWatch:231,0.5
org.apache.commons.lang3.time.StopWatch:226,0.3333333333333333
org.apache.commons.lang3.time.StopWatch:284,0.25
org.apache.commons.lang3.time.StopWatch:148,0.2
org.apache.commons.lang3.time.StopWatch:151,0.2
org.apache.commons.lang3.time.StopWatch:154,0.2
org.apache.commons.lang3.time.StopWatch:155,0.2
org.apache.commons.lang3.time.StopWatch:267,0.2
