,sbfl_score
org.apache.commons.lang3.text.StrBuilder:1435,0.3333333333333333
org.apache.commons.lang3.text.StrBuilder:1436,0.3333333333333333
org.apache.commons.lang3.text.StrBuilder:1427,0.25
org.apache.commons.lang3.text.StrBuilder:1428,0.25
org.apache.commons.lang3.text.StrBuilder:1429,0.25
org.apache.commons.lang3.text.StrBuilder:1430,0.25
org.apache.commons.lang3.text.StrBuilder:1433,0.25
org.apache.commons.lang3.text.StrBuilder:1434,0.25
org.apache.commons.lang3.text.StrBuilder:1443,0.25
org.apache.commons.lang3.text.StrBuilder:1445,0.25
