,sbfl_score
org.apache.commons.lang3.StringUtils:700,1.0
org.apache.commons.lang3.StringUtils:695,0.5
org.apache.commons.lang3.CharSequenceUtils:191,0.3333333333333333
org.apache.commons.lang3.CharSequenceUtils:192,0.3333333333333333
org.apache.commons.lang3.CharSequenceUtils:193,0.3333333333333333
org.apache.commons.lang3.CharSequenceUtils:195,0.3333333333333333
org.apache.commons.lang3.CharSequenceUtils:196,0.3333333333333333
org.apache.commons.lang3.CharSequenceUtils:197,0.3333333333333333
org.apache.commons.lang3.CharSequenceUtils:199,0.3333333333333333
org.apache.commons.lang3.CharSequenceUtils:200,0.3333333333333333
