,sbfl_score
org.apache.commons.lang3.text.translate.NumericEntityUnescaper:57,0.5
org.apache.commons.lang3.text.translate.NumericEntityUnescaper:58,0.5
org.apache.commons.lang3.text.translate.NumericEntityUnescaper:91,0.5
org.apache.commons.lang3.text.translate.NumericEntityUnescaper:110,0.5
org.apache.commons.lang3.text.translate.NumericEntityUnescaper:111,0.5
org.apache.commons.lang3.text.translate.NumericEntityUnescaper:86,0.3333333333333333
org.apache.commons.lang3.text.translate.NumericEntityUnescaper:87,0.3333333333333333
org.apache.commons.lang3.text.translate.NumericEntityUnescaper:90,0.3333333333333333
org.apache.commons.lang3.text.translate.NumericEntityUnescaper:70,0.25
org.apache.commons.lang3.text.translate.NumericEntityUnescaper:107,0.25
