,sbfl_score
org.apache.commons.lang3.RandomStringUtils:186,0.5
org.apache.commons.lang3.RandomStringUtils:227,0.5
org.apache.commons.lang3.RandomStringUtils:230,0.5
org.apache.commons.lang3.RandomStringUtils:235,0.5
org.apache.commons.lang3.RandomStringUtils:236,0.5
org.apache.commons.lang3.RandomStringUtils:258,0.25
org.apache.commons.lang3.RandomStringUtils:309,0.25
org.apache.commons.lang3.RandomStringUtils:310,0.25
org.apache.commons.lang3.RandomStringUtils:312,0.25
org.apache.commons.lang3.RandomStringUtils:328,0.25
