,sbfl_score
org.apache.commons.lang3.builder.HashCodeBuilder:173,1.0
org.apache.commons.lang3.builder.HashCodeBuilder:454,0.25
org.apache.commons.lang3.builder.HashCodeBuilder:135,0.125
org.apache.commons.lang3.builder.HashCodeBuilder:150,0.125
org.apache.commons.lang3.builder.HashCodeBuilder:151,0.125
org.apache.commons.lang3.builder.HashCodeBuilder:172,0.125
org.apache.commons.lang3.builder.HashCodeBuilder:176,0.125
org.apache.commons.lang3.builder.HashCodeBuilder:177,0.125
org.apache.commons.lang3.builder.HashCodeBuilder:178,0.125
org.apache.commons.lang3.builder.HashCodeBuilder:179,0.125
