,sbfl_score
org.apache.commons.lang3.text.StrBuilder:1384,0.5
org.apache.commons.lang3.text.StrBuilder:1431,0.5
org.apache.commons.lang3.text.StrBuilder:162,0.2
org.apache.commons.lang3.text.StrBuilder:1380,0.16666666666666666
org.apache.commons.lang3.text.StrBuilder:1381,0.16666666666666666
org.apache.commons.lang3.text.StrBuilder:1382,0.16666666666666666
org.apache.commons.lang3.text.StrBuilder:1383,0.16666666666666666
org.apache.commons.lang3.text.StrBuilder:1386,0.16666666666666666
org.apache.commons.lang3.text.StrBuilder:1387,0.16666666666666666
org.apache.commons.lang3.text.StrBuilder:1390,0.16666666666666666
