,sbfl_score
org.apache.commons.lang3.text.StrBuilder:1737,0.25
org.apache.commons.lang3.text.StrBuilder:1738,0.25
org.apache.commons.lang3.text.StrBuilder:1739,0.25
org.apache.commons.lang3.text.StrBuilder:1740,0.25
org.apache.commons.lang3.text.StrBuilder:1741,0.25
org.apache.commons.lang3.text.StrBuilder:1742,0.25
org.apache.commons.lang3.text.StrBuilder:1745,0.25
org.apache.commons.lang3.text.StrBuilder:2317,0.25
org.apache.commons.lang3.text.StrBuilder:2356,0.2
org.apache.commons.lang3.text.StrBuilder:1755,0.16666666666666666
