,sbfl_score
org.apache.commons.lang3.reflect.TypeUtils:87,0.5
org.apache.commons.lang3.reflect.TypeUtils:120,0.5
org.apache.commons.lang3.reflect.TypeUtils:133,0.5
org.apache.commons.lang3.reflect.TypeUtils:135,0.5
org.apache.commons.lang3.reflect.TypeUtils:139,0.5
org.apache.commons.lang3.reflect.TypeUtils:153,0.5
org.apache.commons.lang3.reflect.TypeUtils:154,0.5
org.apache.commons.lang3.reflect.TypeUtils:155,0.5
org.apache.commons.lang3.reflect.TypeUtils:156,0.5
org.apache.commons.lang3.reflect.TypeUtils:157,0.5
