,sbfl_score
org.apache.commons.lang3.ArrayUtils:3746,1.0
org.apache.commons.lang3.ArrayUtils:4027,1.0
org.apache.commons.lang3.ArrayUtils:4021,0.5
org.apache.commons.lang3.ArrayUtils:4022,0.5
org.apache.commons.lang3.ArrayUtils:3741,0.16666666666666666
org.apache.commons.lang3.ArrayUtils:48,0.0025188916876574307
org.apache.commons.lang3.ArrayUtils:52,0.0025188916876574307
org.apache.commons.lang3.ArrayUtils:56,0.0025188916876574307
org.apache.commons.lang3.ArrayUtils:60,0.0025188916876574307
org.apache.commons.lang3.ArrayUtils:64,0.0025188916876574307
