,sbfl_score
org.apache.commons.lang3.text.ExtendedMessageFormat:160,1.0
org.apache.commons.lang3.text.ExtendedMessageFormat:161,1.0
org.apache.commons.lang3.text.ExtendedMessageFormat:415,1.0
org.apache.commons.lang3.text.ExtendedMessageFormat:416,1.0
org.apache.commons.lang3.text.ExtendedMessageFormat:478,1.0
org.apache.commons.lang3.text.ExtendedMessageFormat:479,1.0
org.apache.commons.lang3.text.ExtendedMessageFormat:480,1.0
org.apache.commons.lang3.text.ExtendedMessageFormat:481,1.0
org.apache.commons.lang3.text.ExtendedMessageFormat:482,1.0
org.apache.commons.lang3.text.ExtendedMessageFormat:484,1.0
