,sbfl_score
org.apache.commons.lang3.math.Fraction:469,1.0
org.apache.commons.lang3.math.Fraction:470,1.0
org.apache.commons.lang3.math.Fraction:472,1.0
org.apache.commons.lang3.math.Fraction:473,1.0
org.apache.commons.lang3.math.Fraction:474,1.0
org.apache.commons.lang3.math.Fraction:476,1.0
org.apache.commons.lang3.math.Fraction:844,0.3333333333333333
org.apache.commons.lang3.math.Fraction:847,0.3333333333333333
org.apache.commons.lang3.math.Fraction:850,0.3333333333333333
org.apache.commons.lang3.math.Fraction:851,0.3333333333333333
