,sbfl_score
org.apache.commons.lang3.math.NumberUtils:470,0.5
org.apache.commons.lang3.math.NumberUtils:477,0.5
org.apache.commons.lang3.math.NumberUtils:480,0.5
org.apache.commons.lang3.math.NumberUtils:734,0.3333333333333333
org.apache.commons.lang3.math.NumberUtils:735,0.3333333333333333
org.apache.commons.lang3.math.NumberUtils:736,0.3333333333333333
org.apache.commons.lang3.math.NumberUtils:461,0.25
org.apache.commons.lang3.math.NumberUtils:462,0.25
org.apache.commons.lang3.math.NumberUtils:466,0.25
org.apache.commons.lang3.math.NumberUtils:467,0.25
