,sbfl_score
org.apache.commons.lang3.time.FormatCache:159,0.25
org.apache.commons.lang3.time.FastDateFormat:179,0.25
org.apache.commons.lang3.time.FastDateFormat:194,0.25
org.apache.commons.lang3.time.FormatCache:121,0.16666666666666666
org.apache.commons.lang3.time.FastDateFormat:304,0.16666666666666666
org.apache.commons.lang3.time.FastDateFormat:320,0.16666666666666666
org.apache.commons.lang3.time.FormatCache:120,0.125
org.apache.commons.lang3.time.FormatCache:123,0.125
org.apache.commons.lang3.time.FormatCache:124,0.125
org.apache.commons.lang3.time.FastDateFormat:521,0.125
