,sbfl_score
org.apache.commons.lang3.text.ExtendedMessageFormat:264,1.0
org.apache.commons.lang3.text.ExtendedMessageFormat:265,1.0
org.apache.commons.lang3.text.ExtendedMessageFormat:267,1.0
org.apache.commons.lang3.text.ExtendedMessageFormat:270,1.0
org.apache.commons.lang3.text.ExtendedMessageFormat:271,1.0
org.apache.commons.lang3.text.ExtendedMessageFormat:273,1.0
org.apache.commons.lang3.text.ExtendedMessageFormat:276,1.0
org.apache.commons.lang3.text.ExtendedMessageFormat:277,1.0
org.apache.commons.lang3.text.ExtendedMessageFormat:280,1.0
org.apache.commons.lang3.text.ExtendedMessageFormat:283,1.0
