,sbfl_score
org.apache.commons.lang3.StringUtils:1372,0.5
org.apache.commons.lang3.StringUtils:1375,0.5
org.apache.commons.lang3.StringUtils:1376,0.5
org.apache.commons.lang3.StringUtils:1377,0.5
org.apache.commons.lang3.StringUtils:1378,0.5
org.apache.commons.lang3.StringUtils:1379,0.5
org.apache.commons.lang3.StringUtils:1382,0.5
org.apache.commons.lang3.CharSequenceUtils:189,0.05263157894736842
org.apache.commons.lang3.CharSequenceUtils:188,0.05
org.apache.commons.lang3.StringUtils:180,0.002421307506053269
