class,line,hits
org.apache.commons.lang3.math.Fraction,47,1
org.apache.commons.lang3.math.Fraction,51,1
org.apache.commons.lang3.math.Fraction,55,1
org.apache.commons.lang3.math.Fraction,59,1
org.apache.commons.lang3.math.Fraction,63,1
org.apache.commons.lang3.math.Fraction,67,1
org.apache.commons.lang3.math.Fraction,71,1
org.apache.commons.lang3.math.Fraction,75,1
org.apache.commons.lang3.math.Fraction,79,1
org.apache.commons.lang3.math.Fraction,83,1
org.apache.commons.lang3.math.Fraction,87,1
org.apache.commons.lang3.math.Fraction,91,1
org.apache.commons.lang3.math.Fraction,106,12
org.apache.commons.lang3.math.Fraction,110,12
org.apache.commons.lang3.math.Fraction,114,12
org.apache.commons.lang3.math.Fraction,124,12
org.apache.commons.lang3.math.Fraction,125,12
org.apache.commons.lang3.math.Fraction,126,12
org.apache.commons.lang3.math.Fraction,127,12
org.apache.commons.lang3.math.Fraction,377,12
org.apache.commons.lang3.math.Fraction,368,12
