class:method:signature:line,sbfl_score
org.apache.commons.lang.BooleanUtils:toBoolean:(Ljava/lang/String;)Z:656,1.0
org.apache.commons.lang.BooleanUtils:toBoolean:(Ljava/lang/String;)Z:673,1.0
org.apache.commons.lang.BooleanUtils:toBoolean:(Ljava/lang/String;)Z:692,1.0
org.apache.commons.lang.BooleanUtils:toBoolean:(Ljava/lang/String;)Z:691,1.0
org.apache.commons.lang.BooleanUtils:toBoolean:(Ljava/lang/String;)Z:686,1.0
org.apache.commons.lang.BooleanUtils:toBoolean:(Ljava/lang/String;)Z:685,1.0
org.apache.commons.lang.BooleanUtils:toBoolean:(Ljava/lang/String;)Z:684,1.0
org.apache.commons.lang.BooleanUtils:toBoolean:(Ljava/lang/String;)Z:678,1.0
org.apache.commons.lang.BooleanUtils:toBoolean:(Ljava/lang/String;)Z:677,1.0
org.apache.commons.lang.BooleanUtils:toBoolean:(Ljava/lang/String;)Z:672,1.0
org.apache.commons.lang.BooleanUtils:toBoolean:(Ljava/lang/String;)Z:657,1.0
org.apache.commons.lang.BooleanUtils:toBoolean:(Ljava/lang/String;)Z:671,1.0
org.apache.commons.lang.BooleanUtils:toBoolean:(Ljava/lang/String;)Z:666,1.0
org.apache.commons.lang.BooleanUtils:toBoolean:(Ljava/lang/String;)Z:665,1.0
org.apache.commons.lang.BooleanUtils:toBoolean:(Ljava/lang/String;)Z:664,1.0
org.apache.commons.lang.BooleanUtils:toBoolean:(Ljava/lang/String;)Z:662,1.0
org.apache.commons.lang.BooleanUtils:toBoolean:(Ljava/lang/String;)Z:660,1.0
org.apache.commons.lang.BooleanUtils:toBoolean:(Ljava/lang/String;)Z:659,1.0
org.apache.commons.lang.BooleanUtils:toBoolean:(Ljava/lang/String;)Z:699,1.0
