,sbfl_score
org.apache.commons.lang3.time.FastDateParser:248,0.5
org.apache.commons.lang3.time.FastDateParser:253,0.5
org.apache.commons.lang3.time.FastDateParser:274,0.5
org.apache.commons.lang3.time.FastDatePrinter:212,0.03125
org.apache.commons.lang3.time.FastDatePrinter:214,0.03125
org.apache.commons.lang3.time.FastDatePrinter:757,0.03125
org.apache.commons.lang3.time.FastDatePrinter:764,0.03125
org.apache.commons.lang3.time.FastDatePrinter:765,0.03125
org.apache.commons.lang3.time.FastDatePrinter:772,0.03125
org.apache.commons.lang3.time.FastDateParser:245,0.023809523809523808
