,sbfl_score
org.apache.commons.lang3.math.NumberUtils:521,0.3333333333333333
org.apache.commons.lang3.math.NumberUtils:529,0.3333333333333333
org.apache.commons.lang3.math.NumberUtils:530,0.3333333333333333
org.apache.commons.lang3.math.NumberUtils:531,0.3333333333333333
org.apache.commons.lang3.math.NumberUtils:533,0.3333333333333333
org.apache.commons.lang3.math.NumberUtils:513,0.25
org.apache.commons.lang3.math.NumberUtils:518,0.25
org.apache.commons.lang3.math.NumberUtils:524,0.25
org.apache.commons.lang3.math.NumberUtils:525,0.25
org.apache.commons.lang3.math.NumberUtils:526,0.25
