,sbfl_score
org.apache.commons.lang3.time.DurationFormatUtils:321,0.3333333333333333
org.apache.commons.lang3.time.DurationFormatUtils:322,0.3333333333333333
org.apache.commons.lang3.time.DurationFormatUtils:315,0.25
org.apache.commons.lang3.time.DurationFormatUtils:316,0.25
org.apache.commons.lang3.time.DurationFormatUtils:317,0.25
org.apache.commons.lang3.time.DurationFormatUtils:379,0.2
org.apache.commons.lang3.time.DurationFormatUtils:380,0.2
org.apache.commons.lang3.time.DurationFormatUtils:383,0.2
org.apache.commons.lang3.time.DurationFormatUtils:384,0.2
org.apache.commons.lang3.time.DurationFormatUtils:387,0.2
